Study (cluster),Observation #,Reference,Publication type,Year published,Year (data collection),$ value reported based on year,Type of source,Action,Specific technique,Species,Location,Country,Country Code,Economy type (developed or developing),Cost (including),Total project costs reported (capital costs and operating costs),"Capital costs reported (planning, purchasing, land acquisition, construction, and financing)","Operating costs reported (maintenance, monitoring, and equipment repair and replacement)",Monitoring costs included,Construction costs included,In-kind costs (volunteers),Funding: Government,Funding: NGO,Funding: volunteers,Funding: private,Notes to funding,Project duration (year),Area (ha),Cost ($),Year used in CPI conversion,Restoration cost in (US$ / ha),"Restoration cost in  (US$ / ha) @2010 base, CPI","Restoration cost in (US$ / ha/ yr) @2010 base, CPI","Restoration cost in (Int$ / ha/ yr) @2010 base, GDP (PPP)",Feasibility (reasons for failure/success),Average survival (%),Notes,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,71,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$  24,139 for planning,  $ 84,735 for construction, and  $ 12,280 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,14NA164,121154.00,2001.00,8554.00,10534.00,10534.00,10534.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,72,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$   6,033 for planning,  $ 44,769 for construction, and  $ 2,886 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,16NA187,53688.00,2001.00,3317.00,4085.00,4085.00,4085.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,73,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$    4,919 for planning,  $ 34,976 for construction, and  $ 3,826 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,20NA234,43720.00,2001.00,2161.00,2661.00,2661.00,2661.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,74,"Louis Berger and Associates (1997) Costs for wetland creation and restoration projects in the glaciated NortheastNA UNASNA Environmental Protection Agency, Region 1, Boston, MassachusettsNA Source: http://wwwNAedcNAuriNAedu/restoration/html/tech_sci/socio/costsNAhtm",webpage,1997,NA,2001,primary,Costs for wetland creation and restoration projects in the glaciated NortheastNA,"Planning, construction and monitoring",NA,glaciated Northeastern United States,USA,USA,developed,"Cost include: 1) Planning, 2) Construction, and 3) MonitoringNA Here the cost were: US$     486,431 for planning,  $ 2,016,243 for construction, and  $ 13,095 for monitoringNA",yes,NA,NA,yes,yes,NA,yes,NA,NA,NA,UNASNA Environmental Protection Agency,NA,39NA74,2515769.00,2001.00,63306.00,77961.00,77961.00,77961.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,75,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,NA,NA,secondary,Review of 10 coastal wetland restoration projects that restored caNA 121NA5 ha of wetlandsNA,NA,"Spartina spartinae, Spartina patens, Spartina bakeri, Distichlis spicata, Juncus roemerianus, Acrostichum aureum, Borrichia frutescens and other wetland species such as mangroves and freshwater marshes","Miami-Dade County, southeastern Florida",USA,USA,developed,Four wetland communities have been successfully established utilizing cost-effective techniques at 10 coastal sites in Miami-Dade County at a total cost of 6NA7 million dollarsNA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121NA5,6700000.00,1998.00,55144.00,73766.00,73766.00,73766.00,Planting sites are considered highly successful if they have an overall 80% planting survival rateNA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,76,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1996,NA,secondary,"Selective clearing of 4 acres, excavating 41,600 cubic yards of dredge spoil material, planting 10 acres of mangroves, 6NA2 acres of high saltmarsh, 2NA8 acre tidally flushed pond, installing 0NA5 acre fresh/brackish water pond, a network of inter-tidal flushing creeksNA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh","Acrostichum aureum, Juncus roemerianus, Annona glabra Laguncularia racemosa, Avicennia germinans Rhizophora mangle, Batis maritime, Scirpus validus, Borrichia fructescens, Sesuvium portulacastrum, Cladium jamaicensis, Spartina bakeri, Conocarpus erectus, Spartina spartinae, Distichilis spicata, Sporobolus virginicus, Eleocharis cellulose, Suriana maritima","North end of Key Biscayne, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8NA701,800000.00,1996.00,91954.00,127836.00,127836.00,127836.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,77,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1999,NA,secondary,"Clearing exotic vegetation, removing 30,000 cubic yards of solid waste, removing 600,000 cubic yards of dredge spoil material, creating 75 acre of tidally connected mangrove wetlands, installing 3 major flushing connections and culvert connection, installing a network of inter-tidal flushing creeks, creating 10 acres of freshwater isolated wetlandsNA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh","Acrostichum danaefolium, Baccharis spNA, Eleocharis cellulose, Borrichia fructescens, Rhizophora mangle, Cladium jamaicensis, Spartina bakeri","South end of Key Biscayne, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34NA398,2800000.00,1999.00,81395.00,106550.00,106550.00,106550.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,78,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1999,NA,secondary,"Clearing exotic vegetation, excavating and removing 13,000 cubic yards of fill material, planting 2 acres of dune community, planting 4 acres of Rhizophora mangle/Spartina spartinae wetlands, installing 1 major flushing channel, culvert and a connecting inter-tidal creekNA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh","Avicennia germinans, Scaevola plumieri, Borrichia fructescens, Spartina spartinae, Coccoloba uvifera, Suriana maritima, Hymenocallis latifolia, Uniola paniculata, Rhizophora mangle","North Miami, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2NA023,180000.00,1999.00,90000.00,117815.00,117815.00,117815.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,79,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1999,NA,secondary,"Selective removing 8NA2 acres of exotic vegetation, predominantly Schinus terebinthifolius and Casuarina equisetifolia, planting 3 acres of littoral shelf native vegetation, planting 3NA0 acres of forested fresh water wetland, planting 8NA2 acre river bank and hammock vegetation, re-establishing 250 feet of historical riverbed of the Oleta RiverNA","Clearing exotic vegetation, planting saltmarsh","Acer rubrum, Magnolia virginiana, Acrostichum danaeifolium, Myrica cerifera, Annona glabra, Myrsine floridana, Bacopa sppNA, Nymphaea odorata, Bursera simaruba, Nymphoides aquatic, Canna flaccida, Panicum hemitomon, Cephalanthus occidentalis, Pontederia cordata, Chrysobalanus icaco, Psychotria sppNA, Cladium jamaicensis, Quercus laurifolia, Conocarpus erectus, Roystonea elata, Crinum americanum, Sabal palmetto, Cyperus odoratus, Salix caroliniana, Eleocharis cellulose, Sagittaria lancifolia, Eriocaulon decangulare, Sagittaria latifolia, Ficus citrifolia, Saururus ceranus, Hymenocallis latifolia, Scirpus validus, Ilex cassine, Spartina bakeri, Juncus effusus, Taxodium distichum, Juncus polycephalus, Tripsacum dactyloides, Ludwigia repens","Highland Oaks Park, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5NA261,260000.00,1999.00,49057.00,64218.00,64218.00,64218.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,80,Milano G (1999) Restoration of coastal wetlands in southeastern FloridaNA Wetl J 11:15–24,journal,1999,1997,NA,secondary,"Clearing and removing 4 acres of exotic vegetation, including Casuarina equisetifolia, Neyraudia reynaudiana, Schinus terebinthifolius, Scaevola taccada, Thespesia populnea, Hibiscus tiliaceus and Acacia auriculiformis, selective clearing 3 acres of exotic vegetation, excavating 33,000 cubic yards of dredge spoil from the north and central portions of the Key (Spoil sold by contractor reducing restoration cost), restoring 1,200 LF of dunes, planting 150 LF of experimental mangrove in pvc encased tubes, planting 3NA7 acres of red mangroves (Rhizophora mangle) on 3 foot centers, installing 3 flushing channels (8’-15’ wide), installing a network of tidal creeks (900 LF)NA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh","Avicennia germinans, Mallotonia gnaphaloides, Batis maritima, Rhizophora mangle, Borrichia frutescens Scaevola plumieria, Coccoloba uvifera, Sesuvium portulacastrum, Conocarpus erectus, Spartina patens, Distichlis spicata, Spartina spartinae, Helianthus debilis, Sporobolus virginicus, Iva imbricate, Uniola paniculata, Jacquemontia reclinata","Chicken Key, located in the Biscayne Bay Aquatic Preserve, south Biscayne Bay, Miami-Dade, Florida",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2NA833,600000.00,1997.00,214286.00,291099.00,291099.00,291099.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,81,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,1999-2000,2007,secondary,Five of the marshes were classified as terraces vor small marsh islands and were constructed in shallow water with a backhoe or small bulldozerNA Elevated ridges or islands were built using sediments from the adjacent bay bottom or from a nearby stockpile (Mason Marsh)NA,"Construction, hydrological restoration",Spartina alterniflora,"GISP Terraces, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,1,11NA3,661206.00,2007.00,58425.00,61444.00,61444.00,61444.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,82,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,1999,2007,secondary,Five of the marshes were classified as terraces vor small marsh islands and were constructed in shallow water with a backhoe or small bulldozerNA Elevated ridges or islands were built using sediments from the adjacent bay bottom or from a nearby stockpile (Mason Marsh)NA,"Construction, hydrological restoration",Spartina alterniflora,"Pierce Marsh I, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,5NA1,383731.00,2007.00,75464.00,79363.00,79363.00,79363.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,83,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,2001,2007,secondary,Five of the marshes were classified as terraces vor small marsh islands and were constructed in shallow water with a backhoe or small bulldozerNA Elevated ridges or islands were built using sediments from the adjacent bay bottom or from a nearby stockpile (Mason Marsh)NA,"Construction, hydrological restoration",Spartina alterniflora,"Mason Marsh, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,1NA9,99248.00,2007.00,52811.00,55540.00,55540.00,55540.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,84,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,2003,2007,secondary,"Five of the marshes were classified as terraces vor small marsh islands and were constructed in
shallow water with a backhoe or small bulldozerNA Elevated ridges or islands were built using sediments from the adjacent bay bottom or from a nearby stockpile (Mason Marsh)NA","Construction, hydrological restoration",Spartina alterniflora,"Minello Marsh, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,1NA1,72446.00,2007.00,63830.00,67128.00,67128.00,67128.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,85,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,2005,2007,secondary,Five of the marshes were classified as terraces vor small marsh islands and were constructed in shallow water with a backhoe or small bulldozerNA Elevated ridges or islands were built using sediments from the adjacent bay bottom or from a nearby stockpile (Mason Marsh)NA,"Construction, hydrological restoration",Spartina alterniflora,"Pierce Marsh II, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,3.00,182474.00,2007.00,60883.00,64029.00,64029.00,64029.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,86,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,2001,2007,secondary,Three of the remaining marshes consisted of emergent mounds or islands built with a small hydraulic dredge that pumped sandy substrate from a borrow area in deeper water of the bayNA,"Construction, hydrological restoration",Spartina alterniflora,"Jumbile Cove I, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,4NA6,280343.00,2007.00,60989.00,64140.00,64140.00,64140.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,87,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,2003,2007,secondary,Three of the remaining marshes consisted of emergent mounds or islands built with a small hydraulic dredge that pumped sandy substrate from a borrow area in deeper water of the bayNA,"Construction, hydrological restoration",Spartina alterniflora,"Jumbile Cove II, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,9NA9,312806.00,2007.00,31623.00,33257.00,33257.00,33257.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,88,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,2003,2007,secondary,Three of the remaining marshes consisted of emergent mounds or islands built with a small hydraulic dredge that pumped sandy substrate from a borrow area in deeper water of the bayNA,"Construction, hydrological restoration",Spartina alterniflora,"Delehide Cove, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,3NA7,469989.00,2007.00,125641.00,132133.00,132133.00,132133.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
19,89,"Minello T, Rozas L, Caldwell P, Liese C (2012) A comparison of salt marsh construction costs with the value of exported shrimp productionNA Wetlands 32:791–799",journal,2012,1999,2007,secondary,"The remaining project (I-45 West) also involved construction of marsh islands, but this work was done under “dry” conditions in an area of degraded wetlands that had been converted into a dredge disposal siteNA Heavy earth moving equipment was used to create ponds and islands from stockpiled sedimentNA Upon completion, containment levees were breached to flood the project areaNA","Construction, hydrological restoration",Spartina alterniflora,"I-45 West, Galveston Bay, Texas",USA,USA,developed,"Cost included: 1) engineering design; 2) equipment mobilization and demobilization; 3) construction of wetland platforms (eNAgNA, terraces or mounds); 4) construction of breakwaters to prevent erosion; and 5) planting of marsh vegetationNA Cost of building breakwaters or wave barriers to protect the sites were not includedNA Cost of planting vegetation were not included, because most projects employed volunteers and did not have to bear these costsNA",NA,yes,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,5NA7,484828.00,2007.00,85255.00,89660.00,89660.00,89660.00,NA,NA,"We calculated two measures using this approach, one with a zero discount rate and one with a 3% discount rateNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
20,90,"O'Brien EL, Zedler JB (2006) Accelerating the restoration of vegetation in a southern California salt marshNA Wetl Ecol Manag 14:269-286",journal,2006,2000,NA,secondary,"The study describes an excavated tidal marsh plain at Tijuana Estuary, southern California, which experienced episodic sedimentation and became hypersaline, inhibiting plant establishmentNA Saltmarsh seedlings were planted in April 2000NA Source: (Zedler 2001; Zedler et alNA 2003)NA","Planting saltmarsh (seeds, seedlings or sods)",NA,"Tijuana Estuary, southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000.00,NA,NA,NA,NA,"Most of the seedlings that were planted in April 2000 died (8NA8% survival of 1332 transplants in unamended soil, similar rates in amended soil)NA",8NA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,91,"O'Brien EL, Zedler JB (2006) Accelerating the restoration of vegetation in a southern California salt marshNA Wetl Ecol Manag 14:269-286",journal,2006,2000,NA,secondary,"The study describes an excavated tidal marsh plain at Tijuana Estuary, southern California, which experienced episodic sedimentation and became hypersaline, inhibiting plant establishmentNA Salt marsh seedlings were planted in April 2000NA Source: (Zedler 2001; Zedler et alNA 2003)NA","Planting saltmarsh (seeds, seedlings or sods)",NA,"Tijuana Estuary, southern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000.00,NA,NA,NA,NA,"The same species transplanted in another part of the same estuary established well (92NA7% survival of 6480
transplants)NA",92NA7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,92,"O'Brien EL, Zedler JB (2006) Accelerating the restoration of vegetation in a southern California salt marshNA Wetl Ecol Manag 14:269-286",journal,2006,2000-2002,NA,primary,"Before planting, site (8-ha area) was prepared by removing 2 m of soilNA A channel was dredged along the entire north edge of the site to receive tidal inputNA The site was graded to an elevation of 30–80 cm National Geodetic Vertical Datum, sloping upward from the tidal channel to a berm constructed to protect the site from episodic flood flowsNA Excavation was completed and soil treatments were installed in January 2000NA All cells contained an unplanted mudflat (at the lowest elevation, closest to the tidal channel), a zone of Pacific cordgrass (Spartina foliosa, planted by Habitats West) and multi-species cluster plantings in the soil treatment plotsNA The site was opened to tidal flushing in February 2000NA Seedlings of the five species used in the cluster spacing treatments were grown from seeds collected at Tijuana EstuaryNA Seeds were germinated in flats in the greenhouse between November 1999 and January 2000, and then transplanted into 5 x 5 cm plastic potsNA At 4 months, the 5–10-cm tall seedlings were moved outdoors and gradually hardened with increasingly saline waterNA Replantings were required between March and December 2000 due to mortalityNA Some threatments were enriched by adding kelp compost to the soilNA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh",Batis maritima,"Tijuana Estuary, southwestern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Funding to construct the restoration site came to Southwest Wetlands Interpretive Association from the US Fish and Wildlife Service and the California State Coastal Conservancy, thanks to the efforts of JNA King and the Management Authority of the Tijuana River National Estuarine Research ReserveNA Experimental work at Tijuana Estuary was funded by an award from Earth Island Institute to the Pacific Estuarine Research Laboratory (PERL) and the National Science Foundation (to JNA Zedler, JNA Callaway, and SNA Madon, # DEB 0212005)NA",2NA3,0NA005,NA,2000.00,NA,NA,NA,NA,"Total transplants number (including replantings in March and December) was 129, of which 90 survived after more than 2 yearsNA",69NA8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,93,"O'Brien EL, Zedler JB (2006) Accelerating the restoration of vegetation in a southern California salt marshNA Wetl Ecol Manag 14:269-286",journal,2006,2000-2002,NA,primary,"Before planting, site (8-ha area) was prepared by removing 2 m of soilNA A channel was dredged along the entire north edge of the site to receive tidal inputNA The site was graded to an elevation of 30–80 cm National Geodetic Vertical Datum, sloping upward from the tidal channel to a berm constructed to protect the site from episodic flood flowsNA Excavation was completed and soil treatments were installed in January 2000NA All cells contained an unplanted mudflat (at the lowest elevation, closest to the tidal channel), a zone of Pacific cordgrass (Spartina foliosa, planted by Habitats West) and multi-species cluster plantings in the soil treatment plotsNA The site was opened to tidal flushing in February 2000NA Seedlings of the five species used in the cluster spacing treatments were grown from seeds collected at Tijuana EstuaryNA Seeds were germinated in flats in the greenhouse between November 1999 and January 2000, and then transplanted into 5 x 5 cm plastic potsNA At 4 months, the 5–10-cm tall seedlings were moved outdoors and gradually hardened with increasingly saline waterNA Replantings were required between March and December 2000 due to mortalityNA Some threatments were enriched by adding kelp compost to the soilNA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh",Frankenia salina,"Tijuana Estuary, southwestern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Funding to construct the restoration site came to Southwest Wetlands Interpretive Association from the US Fish and Wildlife Service and the California State Coastal Conservancy, thanks to the efforts of JNA King and the Management Authority of the Tijuana River National Estuarine Research ReserveNA Experimental work at Tijuana Estuary was funded by an award from Earth Island Institute to the Pacific Estuarine Research Laboratory (PERL) and the National Science Foundation (to JNA Zedler, JNA Callaway, and SNA Madon, # DEB 0212005)NA",2NA3,0NA005,NA,2000.00,NA,NA,NA,NA,"Total transplants number (including replantings in March and December) was 140, of which 81 survived after more than 2 yearsNA",57NA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,94,"O'Brien EL, Zedler JB (2006) Accelerating the restoration of vegetation in a southern California salt marshNA Wetl Ecol Manag 14:269-286",journal,2006,2000-2002,NA,primary,"Before planting, site (8-ha area) was prepared by removing 2 m of soilNA A channel was dredged along the entire north edge of the site to receive tidal inputNA The site was graded to an elevation of 30–80 cm National Geodetic Vertical Datum, sloping upward from the tidal channel to a berm constructed to protect the site from episodic flood flowsNA Excavation was completed and soil treatments were installed in January 2000NA All cells contained an unplanted mudflat (at the lowest elevation, closest to the tidal channel), a zone of Pacific cordgrass (Spartina foliosa, planted by Habitats West) and multi-species cluster plantings in the soil treatment plotsNA The site was opened to tidal flushing in February 2000NA Seedlings of the five species used in the cluster spacing treatments were grown from seeds collected at Tijuana EstuaryNA Seeds were germinated in flats in the greenhouse between November 1999 and January 2000, and then transplanted into 5 x 5 cm plastic potsNA At 4 months, the 5–10-cm tall seedlings were moved outdoors and gradually hardened with increasingly saline waterNA Replantings were required between March and December 2000 due to mortalityNA Some threatments were enriched by adding kelp compost to the soilNA","Hydrological restoration, clearing exotic vegetation, planting saltmarsh",Jaumea carnosa,"Tijuana Estuary, southwestern California",USA,USA,developed,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,"Funding to construct the restoration site came to Southwest Wetlands Interpretive Association from the US Fish and Wildlife Service and the California State Coastal Conservancy, thanks to the efforts of JNA King and the Management Authority of the Tijuana River National Estuarine Research ReserveNA Experimental work at Tijuana Estuary was funded by an award from Earth Island Institute to the Pacific Estuarine Research Laboratory (PERL) and the National Science Foundation (to JNA Zedler, JNA Callaway, and SNA Madon, # DEB 0212005)NA",2NA3,0NA005,NA,2000.00,NA,NA,NA,NA,"Total transplants number (including replantings in March and December) was 243, of which 67 survived after more than 2 yearsNA",27NA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
